time,user_rawx,pred_rawx,usr_rawy,pred_rawy
49.2925,-0.0133055,-0.0118423,0.0427991,0.0392635
49.2935,-0.0126337,-0.0112347,0.0440393,0.0405175
49.2945,-0.0119462,-0.0106227,0.0453391,0.0418256
49.2955,-0.0112417,-0.0100323,0.0466991,0.0431844
49.2965,-0.0105359,-0.00947742,0.0481065,0.0445767
49.2975,-0.00984366,-0.00894916,0.0495409,0.0459801
49.2986,-0.00917663,-0.00844079,0.0509931,0.0473995
49.2996,-0.0085392,-0.00794918,0.0524665,0.0488487
49.3006,-0.00792701,-0.00746918,0.0539647,0.050332
49.3016,-0.00733528,-0.00699454,0.0555005,0.0518702
49.3026,-0.00676415,-0.00652746,0.057076,0.0534543
49.3036,-0.00622422,-0.00610771,0.0586739,0.055043
49.3046,-0.0057266,-0.005765,0.0602857,0.0566282
49.3056,-0.00527536,-0.00548094,0.061904,0.0582009
49.3066,-0.00487352,-0.00524747,0.0635181,0.0597518
49.3076,-0.00452181,-0.00506528,0.0651279,0.0612955
49.3086,-0.0042211,-0.00491882,0.0667273,0.0628295
49.3096,-0.00397069,-0.0048132,0.0683175,0.0643536
49.3106,-0.00377043,-0.00476695,0.0699024,0.0658758
49.3116,-0.00361983,-0.004782,0.0714809,0.0673979
49.3126,-0.00351607,-0.00484524,0.0730597,0.0689298
49.3136,-0.00345752,-0.00495524,0.0746373,0.0704626
49.3146,-0.0034439,-0.00511377,0.0762129,0.0719863
49.3156,-0.00347379,-0.00531777,0.077789,0.0735072
49.3166,-0.00354654,-0.0055737,0.0793645,0.0750255
49.3176,-0.00365996,-0.00587568,0.0809452,0.07655
49.3186,-0.00381028,-0.00620671,0.0825325,0.0780871
49.3196,-0.0039957,-0.00655555,0.0841289,0.0796387
49.3206,-0.00421278,-0.00691568,0.0857387,0.0812086
49.3216,-0.0044596,-0.00729692,0.0873616,0.0827922
49.3226,-0.00473495,-0.00770938,0.0890031,0.0843892
49.3236,-0.00503612,-0.00814447,0.0906594,0.0859953
49.3246,-0.00536211,-0.00859656,0.0923285,0.0876073
49.3256,-0.00571074,-0.00906267,0.0940078,0.0892151
49.3266,-0.0060801,-0.00953995,0.0956857,0.090797
49.3276,-0.00646903,-0.0100285,0.0973559,0.0923522
49.3286,-0.00687523,-0.0105237,0.0990081,0.0938777
49.3296,-0.00729835,-0.0110252,0.100632,0.0953615
49.3306,-0.007737,-0.0115351,0.10222,0.0968086
49.3317,-0.00819013,-0.0120512,0.103768,0.0982317
49.3327,-0.00865644,-0.0125717,0.105279,0.0996422
49.3337,-0.00913349,-0.0130893,0.106759,0.10106
49.3347,-0.00961954,-0.013599,0.108218,0.102505
49.3357,-0.0101128,-0.0141044,0.109665,0.103981
49.3367,-0.0106138,-0.0146088,0.111108,0.105486
49.3377,-0.0111221,-0.0151154,0.112554,0.107022
49.3387,-0.0116378,-0.0156324,0.114009,0.108569
49.3397,-0.0121635,-0.0161665,0.115466,0.110111
49.3407,-0.0126999,-0.016714,0.116924,0.111649
49.3417,-0.0132491,-0.0172787,0.118378,0.113164
49.3427,-0.013812,-0.0178658,0.119823,0.114649
49.3437,-0.0143887,-0.0184618,0.12126,0.116119
49.3447,-0.0149781,-0.0190576,0.122683,0.11758
49.3457,-0.0155798,-0.0196508,0.124091,0.119031
49.3467,-0.0161927,-0.0202375,0.125484,0.12047
49.3477,-0.0168151,-0.0208294,0.126862,0.121887
49.3487,-0.0174499,-0.0214374,0.128218,0.123289
49.3497,-0.0180969,-0.022051,0.129554,0.124685
49.3507,-0.0187555,-0.0226749,0.130864,0.126052
49.3517,-0.019427,-0.0233235,0.132143,0.127375
49.3527,-0.0201091,-0.0239776,0.133389,0.12867
49.3537,-0.0208017,-0.0246277,0.134598,0.129931
49.3547,-0.0215055,-0.0252886,0.135761,0.131141
49.3557,-0.022222,-0.025973,0.136872,0.1323
49.3567,-0.0229541,-0.0266918,0.137926,0.133402
49.3577,-0.023702,-0.0274381,0.138916,0.13444
