time,inputx,predictx,inputy,predicty
11.1699,-0.0327436,-0.0231356,-0.0321384,-0.0210555
11.1709,-0.0326509,-0.0232084,-0.032769,-0.0220658
11.1719,-0.0325552,-0.0233375,-0.0333923,-0.0230506
11.1729,-0.0324531,-0.023519,-0.0340111,-0.0240019
11.1739,-0.0323422,-0.0237302,-0.0346308,-0.0249356
11.1749,-0.0322219,-0.0239668,-0.0352545,-0.0258501
11.1759,-0.0320926,-0.0242309,-0.0358749,-0.0267234
11.1769,-0.0319556,-0.0245143,-0.0364836,-0.0275606
11.1779,-0.0318139,-0.0247877,-0.0370745,-0.0283873
11.1789,-0.0316695,-0.0250077,-0.0376414,-0.0292168
11.1799,-0.0315225,-0.0251551,-0.0381816,-0.0300578
11.181,-0.0313731,-0.0252363,-0.0386962,-0.03092
11.182,-0.0312211,-0.0252537,-0.0391813,-0.0317983
11.183,-0.0310667,-0.0252146,-0.0396323,-0.0326722
11.184,-0.0309104,-0.025153,-0.0400443,-0.0335139
11.185,-0.0307536,-0.0250992,-0.0404081,-0.0343057
11.186,-0.0305963,-0.025045,-0.0407263,-0.035063
11.187,-0.030438,-0.024966,-0.0410019,-0.0357932
11.188,-0.0302798,-0.0248545,-0.0412342,-0.0364868
11.189,-0.0301226,-0.024708,-0.0414224,-0.0371446
11.19,-0.0299657,-0.024521,-0.0415627,-0.037756
11.191,-0.0298096,-0.024299,-0.0416525,-0.0383025
11.192,-0.0296563,-0.0240454,-0.0416886,-0.0387768
11.193,-0.0295068,-0.0237572,-0.0416684,-0.0391906
11.194,-0.029363,-0.0234437,-0.0415917,-0.0395625
11.195,-0.0292276,-0.0231125,-0.04146,-0.0398841
11.196,-0.0291011,-0.0227534,-0.0412739,-0.0401297
11.197,-0.0289831,-0.0223653,-0.0410335,-0.0402903
11.198,-0.0288743,-0.0219648,-0.0407458,-0.0403734
11.199,-0.0287739,-0.0215692,-0.0404123,-0.0403698
11.2,-0.0286807,-0.0212022,-0.0400325,-0.0402696
11.201,-0.0285947,-0.0208847,-0.039608,-0.040079
11.202,-0.028516,-0.0206151,-0.0391419,-0.0397997
11.203,-0.028444,-0.0203908,-0.0386407,-0.0394329
11.204,-0.0283793,-0.0202179,-0.0381034,-0.0389849
11.205,-0.0283223,-0.0200876,-0.0375302,-0.0384737
11.206,-0.0282729,-0.0199818,-0.0369253,-0.0379041
11.207,-0.0282317,-0.0198943,-0.0362907,-0.0372517
11.208,-0.0281989,-0.0198272,-0.0356355,-0.0365182
11.209,-0.0281745,-0.0197813,-0.0349726,-0.0357306
11.21,-0.0281593,-0.0197527,-0.0343116,-0.0348942
11.211,-0.0281533,-0.0197339,-0.0336639,-0.0339925
